downloadcount	movie
13	[日本][2017][埃内斯托][Ernesto.2017.720p.BluRay.x264-WiKi][传记][Blu-Ray][720P][自带中文字幕]
	
98	[日本][2017][亚人][Ajin.Demi-Human.2017.720p.BluRay.x264-WiKi][剧情/动作/奇幻][Blu-Ray][720P][自带中文字幕]
	
302	[大陆][2018][祖宗十九代][The.Faces.of.My.Gene.2018.WEB-DL.4K.H265.AAC-OurTV][喜剧][WEB-DL][4K][自带中英字幕]
	
395	[美国][2018][50°飞(笑)][Fifty.Shades.Freed.2018.720p.WEBRip.DD5.1.x264-SHITBOX][剧情/爱情][WEBRip][720P][暂无字幕]
	
396	[美国][2018][通勤营救/疾速救援(台)/追命列车(港)][The.Commuter.2018.BluRay.720p.AC3.x264-MTeam][动作/惊悚/犯罪][Blu-Ray][720P][附件中文字幕]
	
72	[大陆][2017][空天猎][Sky.Hunter.2017.720p.BluRay.x264-WiKi][剧情/动作/战争][Blu-Ray][720P][无需字幕]
	
122	[美国][1980][闪灵][The.Shining.1980.BluRay.720p.x264.DTS-WiKi][恐怖/惊悚][Blu-Ray][720P][暂无字幕]
	
115	[美国][2017][金钱世界/万恶金钱(港)/世上所有的财富][All.the.Money.in.the.World.2017.720p.BluRay.x264-WiKi][剧情/犯罪/悬疑][Blu-Ray][720P][自带中文字幕]
	
85	[韩国][2017][杀人优越权/朝鲜来的贵宾][V.I.P.2017.1080p.BluRay.x264.DTS-WiKi][动作/犯罪][Blu-Ray][720P][附件中英字幕]
	
4	[美国][2018][金钱世界][All the money][ 米歇尔·威廉姆斯 / 克里斯托弗·普卢默 / 马克·沃尔伯格 / 查理·普拉默 / 罗曼·杜里斯 ][剧情/传记][720P][自带中英字幕]
	
55	[香港][1994][重庆森林][Chungking.Express.1994.CC.1080p.BluRay.x264.DTS-2Audios-CMCT][剧情/喜剧/爱情][Blu-Ray][1080P][无需字幕]
	
251	[大陆][2018][齐天大圣万妖之城][Qi.Tian.Da.Sheng.2018.1080p.WEB-DL.H264.AAC-OurTV][奇幻/冒险][WEB-DL][1080P][自带中文字幕]
	
764	[大陆][2018][捉妖记2][Monster.Hunt.2.2018.WEB-DL.1080P.H264.AAC-RS][喜剧/奇幻][WEB-DL][1080P][自带中英字幕]
	
403	[大陆][2018][捉妖记2][Monster.Hunt.2.2018.WEB-DL.4K.H264.AAC-TJUPT][喜剧/奇幻][WEB-DL][4K][自带中英字幕]
	
262	[台湾][2017][血观音][The.Bold.the.Corrupt.and.the.Beautiful.2017.720p.BluRay.x264-WiKi][剧情/悬疑][Blu-Ray][720P][无需字幕]
	
71	[美国][2017][马戏之王/大娱乐家(港/台)/地球最强秀/地球最强马戏演员/全球最伟大的马戏演员/大秀之王][The.Greatest.Showman.2017.720p.BluRay.x264-WiKi][剧情/传记/其他][Blu-Ray][720P][暂无字幕]
	
37	[2017][马柔本宅秘事/髓骨][Marrowbone.2017.720p.AAC.x264][剧情/悬疑][720P][自带中英字幕]
	
323	[美国][2017][华盛顿邮报/The Papers/战云密报(港)/邮报/邮报:密战(台)][The.Post.2017.720p.BluRay.x264-GECKOS][剧情/惊悚/传记][Blu-Ray][720P][附件中英字幕]
	
143	[大陆][2018][南极之恋][Till.the.End.of.the.World.2018.1080p.WEB-DL.AAC.H265-OurTV][赵又廷/杨子姗][爱情/冒险][WEB-DL][1080P][自带中文字幕]
	
107	[韩国][2017][与神同行/与神一起/与神同在/和神一起][Along.with.the.Gods.The.Two.Worlds.2017.720p.BluRay.DD5.1.x264-BMDru][剧情/奇幻][Blu-Ray][720P][自带中英字幕]
	
57	[美国][2017][魅影缝匠/霓裳魅影(港/台)/幽冥端绪/幽灵线条/一缕浮生/衣缕浮生/丝缕幻象][Phantom.Thread.2017.720p.BluRay.x264.DTS-HDChina][剧情/爱情][Blu-Ray][720P][附件中英字幕]
	
55	[美国][2017][茉莉牌局/茉莉的牌局/决胜女王(台)/莫莉游戏(港)][Molly's.Game.2017.720p.BluRay.x264.DTS-HDChina][剧情/传记][Blu-Ray][720P][暂无字幕]
	
258	[台湾][2017][大佛普拉斯][The.Great.Buddha.+.2017.BluRay.720p.DTS.x264-MTeam][剧情/喜剧][Blu-Ray][720P][自带中英字幕]
	
87	[美国][2017][魅影缝匠][Phantom.Thread.2017.720p.BlueRay.x264.aac-ygdy8][剧情/爱情][Blu-Ray][720P][自带中英字幕]
	
73	[美国][2017][茉莉牌局][Mollys.Game.2017.1080p.WEB-DL.H264.AC3-EVO][剧情/传记][WEB-DL][1080P][附件中文字幕]
	
52	[美国][2017][父亲形象/混蛋/谁是你爸爸?][Father.Figures.2017.1080p.WEB-DL.DD5.1.H264-FGT][喜剧][WEB-DL][1080P][附件中文字幕]
	
103	[美国][2018][神探狗笨吉][Benji.2018.1080p.WEBRip.x264-WEBTiFUL][剧情][WEBRip][1080P][自带英文字幕]
	
	
	
83	[大陆][2018][灵契][Ling.Qi.2018.WEB-DL.1080P.H264.AAC-DanNi][奇幻][WEB-DL][1080P][自带中英字幕]
	
57	[2017][圣诞发明家][The.Man.Who.Invented.Christmas.2017.BluRay.720p.MNHD-FRDS][剧情/喜剧/传记][Blu-Ray][720P][自带中英字幕]
	
31	[美国][2017][魅影缝匠/ 霓裳魅影(港/台)/幽冥端绪/幽灵线条/一缕浮生/衣缕浮生/丝缕幻象][Phantom.Thread.2017.1080p.AMZN.WEB-DL.DD+5.1.H264-SiGMA][剧情/爱情][WEB-DL][1080P][自带英文字幕]
	
38	[法国][2017][天上再见][See.You.Up.There.2017.BluRay.720p.x264.DD5.1-HDChina][剧情][Blu-Ray][720P][暂无字幕]
	
141	[美国][2018][潜伏4:锁命亡灵/潜伏4/阴儿房第4章:锁命亡灵(台)/儿凶 第四回(港)][Insidious.The.Last.Key.2018.BluRay.720p.x264.AC3-CMCT][恐怖/惊悚][Blu-Ray][720P][自带中英字幕]
	
10	[日本][2017][预兆][Foreboding.2017.720p.BluRay.x264-WiKi][科幻][Blu-Ray][720P][自带中文字幕]
	
48	[日本][2017][恋爱禁止的世界][Love.and.Lies.2017.720p.BluRay.x264-WiKi][剧情/爱情][Blu-Ray][720P][自带中文字幕]
	
35	[日本][2017][宣告黎明的露之歌/宣告黎明的人鱼之歌(港)/告知天亮之路][Lu.Over.the.Wall.2017.720p.BluRay.x264-WiKi][剧情/奇幻/动画][Blu-Ray][720P][自带中文字幕]
	
559	[美国][2018][移动迷宫3:死亡解药][Maze.Runner.The.Death.Cure.2018.1080p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT][迪伦·奥布莱恩/卡雅·斯考达里奥/李起弘/托马斯·布罗迪-桑斯特/罗莎·萨拉查][动作/惊悚/科幻][HDTV][1080P]
	
21	[美国][1982][火狐][firefox.1982.Blueray.1080p.AAC.x264-MTeamPAD][克林特·伊斯特伍德][剧情/科幻/战争][Blu-Ray][1080P][暂无字幕]
	
69	[大陆][2017][奇门遁甲][The.Thousand.Faces.of.Dunjia.2017.720p.BluRay.x264-WiKi][动作/奇幻][Blu-Ray][720P][自带中文字幕]
	
